Trained On,Tested On,Model,Accuracy,,,
b100d100.csv,GradientBoostingClassifier(),b5000d30.csv,0.987777778,,,
b100d30.csv,GradientBoostingClassifier(),b1000d10.csv,1,,,
b100d30.csv,GradientBoostingClassifier(),b1000d100.csv,1,,,
b100d30.csv,GradientBoostingClassifier(),b1000d30.csv,1,,,
b100d30.csv,GradientBoostingClassifier(),b100d10.csv,0.166666667,,,
b100d30.csv,GradientBoostingClassifier(),b100d100.csv,1,,,
b100d30.csv,GradientBoostingClassifier(),b5000d10.csv,0.904814815,,,
b100d30.csv,GradientBoostingClassifier(),b5000d100.csv,1,,,
b100d30.csv,GradientBoostingClassifier(),b5000d30.csv,1,,,
b5000d10.csv,GradientBoostingClassifier(),b1000d10.csv,1,,,
b5000d10.csv,GradientBoostingClassifier(),b1000d100.csv,0.800740741,,,
b5000d10.csv,GradientBoostingClassifier(),b1000d30.csv,0.837407407,,,
b5000d10.csv,GradientBoostingClassifier(),b100d10.csv,0.341111111,,,
b5000d10.csv,GradientBoostingClassifier(),b100d100.csv,0.776666667,,,
b5000d10.csv,GradientBoostingClassifier(),b100d30.csv,0.83,,,
b5000d10.csv,GradientBoostingClassifier(),b5000d100.csv,0.775185185,,,
b5000d10.csv,GradientBoostingClassifier(),b5000d30.csv,0.838148148,,,
b5000d100.csv,GradientBoostingClassifier(),b1000d10.csv,0.641111111,,,
b5000d100.csv,GradientBoostingClassifier(),b1000d100.csv,0.999259259,,,
b5000d100.csv,GradientBoostingClassifier(),b1000d30.csv,1,,,
b5000d100.csv,GradientBoostingClassifier(),b100d10.csv,0.187777778,,,
b5000d100.csv,GradientBoostingClassifier(),b100d100.csv,0.999259259,,,
b5000d100.csv,GradientBoostingClassifier(),b100d30.csv,0.997777778,,,
b5000d100.csv,GradientBoostingClassifier(),b5000d10.csv,0.533333333,,,
b5000d100.csv,GradientBoostingClassifier(),b5000d30.csv,1,,,
b5000d30.csv,GradientBoostingClassifier(),b1000d10.csv,1,,,
b5000d30.csv,GradientBoostingClassifier(),b1000d100.csv,0.954444444,,,
b5000d30.csv,GradientBoostingClassifier(),b1000d30.csv,1,,,
b5000d30.csv,GradientBoostingClassifier(),b100d10.csv,0.34037037,,,
b5000d30.csv,GradientBoostingClassifier(),b100d100.csv,0.97037037,,,
b5000d30.csv,GradientBoostingClassifier(),b100d30.csv,0.99962963,,,
